forced,tsid,time,state,residuals
False,4,173.0,0.8191560812933574,-0.0013860571867865268
False,4,174.0,0.8067756777587815,-0.01373359009236197
False,4,175.0,0.799678533311105,-0.02079770805078096
False,4,176.0,0.8053029323942199,-0.015140145398843896
False,4,177.0,0.792057154617927,-0.02835264024008277
False,4,178.0,0.7903079390304557,-0.030068474456068306
False,4,179.0,0.7919324848438767,-0.02841047239275163
False,4,180.0,0.8122383910860163,-0.008071059399636371
False,4,181.0,0.7996835653975392,-0.02059234767912288
False,4,182.0,0.816319825472861,-0.003922534506047404
False,4,183.0,0.8053252532364041,-0.014883548924900958
False,4,184.0,0.8072456022704895,-0.012929644016126951
False,4,185.0,0.8184426947546929,-0.0016990011381898817
False,4,186.0,0.8197592640013094,-0.0003488930049896366
False,4,187.0,0.8200759436172559,1.3054865998229914e-06
False,4,188.0,0.8097810556143089,-0.010260094937932895
False,4,189.0,0.8072666184864924,-0.01274108833730625
False,4,190.0,0.8145930280391853,-0.005381292419298966
False,4,191.0,0.8303581706697755,0.010417163124042839
False,4,192.0,0.8269303464633464,0.007022559788932736
False,4,193.0,0.8166456354558785,-0.0032290433228854276
False,4,194.0,0.8229814888956791,0.0031397842360302297
False,4,195.0,0.8176773523794446,-0.002131530273809412
False,4,196.0,0.8180415518523644,-0.001734676424199666
False,4,197.0,0.8120522318086268,-0.007691525961054935
False,4,198.0,0.8290124885804148,0.009300999966420753
False,4,199.0,0.8215934138757253,0.0019139780424978214
False,4,200.0,0.811909730029708,-0.007737880605404479
False,4,201.0,0.8163740382750777,-0.0032419834393004887
False,4,202.0,0.8131174248514677,-0.006467251640733251
False,4,203.0,0.8172312502345476,-0.002322332656404358
False,4,204.0,0.8327352802806318,0.01321253034488501
False,4,205.0,0.8426633293451866,0.023171140878274876
False,4,206.0,0.8256319000319902,0.006169987297466095
False,4,207.0,0.8120502450521884,-0.007381693519269317
False,4,208.0,0.8272709082375026,0.007868624889933562
False,4,209.0,0.8265118371409613,0.007138871853105466
False,4,210.0,0.8351009264037442,0.015756925302566893
False,4,211.0,0.8187548706680066,-0.0005605330819047349
False,4,212.0,0.8332168576162082,0.013929673571847379
False,4,213.0,0.8257309853453078,0.0064716337407252356
False,4,214.0,0.8330491639464035,0.013817253164788323
False,4,215.0,0.8300328899991575,0.010828031522208126
False,4,216.0,0.824992916236947,0.005814731550404684
False,4,217.0,0.8035665592547325,-0.015585315153595292
False,4,218.0,0.8006020689097915,-0.018523841374868844
False,4,219.0,0.8105669768187359,-0.008533299737319755
False,4,220.0,0.8243785990361316,0.00530363837233927
False,4,221.0,0.8378707582464164,0.018820803891008153
False,4,222.0,0.816412894836402,-0.002612355780940212
False,4,223.0,0.8153505511416291,-0.0036502913427818307
False,4,224.0,0.8261129338195885,0.007136210645354857
False,4,225.0,0.8303208328036873,0.011367947357299624
False,4,226.0,0.8226539225999115,0.0037246014763283597
False,4,227.0,0.8254804031996652,0.006574381686518249
False,4,228.0,0.8301465924420757,0.01126361464296255
False,4,229.0,0.8140209188329325,-0.004839260986090443
False,4,230.0,0.8084050248432558,-0.010432591011511616
False,4,231.0,0.8060358921806444,-0.012779382598869904
False,4,232.0,0.8117473030045427,-0.007045845618263602
False,4,233.0,0.815415245681126,-0.0033559872822414016
False,4,234.0,0.8135233395934569,-0.005226187844408092
False,4,235.0,0.8076148188263512,-0.011113215852580072
False,4,236.0,0.8090534857145137,-0.009653274483832908
False,4,237.0,0.8217449174490316,0.003059206768860734
False,4,238.0,0.8194755380735854,0.0008106466391080147
False,4,239.0,0.8153166008006151,-0.003327706874735381
False,4,240.0,0.8075348950781307,-0.011089072997282567
False,4,241.0,0.8109522260105285,-0.0076516589313117
False,4,242.0,0.8026589427780891,-0.015925130463501525
False,4,243.0,0.798261101998813,-0.02030344707141485
False,4,244.0,0.8096978847188271,-0.00884744297966189
False,4,245.0,0.8053079072791759,-0.013218516658484614
False,4,246.0,0.8264916129697966,0.007983757146335146
False,4,247.0,0.8281430185246995,0.009653374226961442
False,4,248.0,0.8213280542525332,0.002856245432083182
False,4,249.0,0.8248296216587485,0.006375254393866436
False,4,250.0,0.8207950367596802,0.0023576975585818394
False,4,251.0,0.8248857985979267,0.0064650529735474915
False,4,252.0,0.8219821070663151,0.0035774987613632625
False,4,253.0,0.8188671586834175,0.0004782092109517633
False,4,254.0,0.8063030207572667,-0.012070770311371937
False,4,255.0,0.817971264817126,-0.0003878877924042845
False,4,256.0,0.8050865814502223,-0.013258471887978796
False,4,257.0,0.8160625097880626,-0.0022690016913405886
False,4,258.0,0.8234411724957614,0.005122630020055863
False,4,259.0,0.8185882101110621,0.0002820509567046381
False,4,260.0,0.8287956556411294,0.01050128475504053
False,4,261.0,0.8212692188378725,0.002986033768842322
False,4,262.0,0.819896140384264,0.001623533090416518
False,4,263.0,0.839815155087819,0.021552513834405818
False,4,264.0,0.8295846400779667,0.011331349592094364
False,4,265.0,0.8167310697365769,-0.0015134894099698704
False,4,266.0,0.8170369191870147,-0.00119953105832582
False,4,267.0,0.8279650698807031,0.009736102727171514
False,4,268.0,0.8089224758235929,-0.009299637695068474
False,4,269.0,0.8046054833395168,-0.013610408735224788
False,4,270.0,0.8058063781502259,-0.012403926354973893
False,4,271.0,0.8083560173529659,-0.009849332798216537
False,4,272.0,0.8072081721704029,-0.010992857383691712
False,4,273.0,0.800759136584477,-0.01743820685148345
False,4,274.0,0.7993672866118353,-0.018827004116309665
False,4,275.0,0.8065509985109522,-0.011640868438865581
False,4,276.0,0.812628233156152,-0.0055618308582008336
False,4,277.0,0.8098772879999344,-0.00831158353639827
False,4,278.0,0.8125342353843765,-0.0056540415766848096
False,4,279.0,0.8065122008071212,-0.011676064154189314
False,4,280.0,0.8237793252933039,0.005590504232872218
False,4,281.0,0.8225054057429203,0.004315473357662802
False,4,282.0,0.8181437360414817,-4.784763755660837e-05
False,4,283.0,0.8236901478001876,0.005496389995840012
False,4,284.0,0.8303999386398311,0.012203504101658491
False,4,285.0,0.8190140185766679,0.000814430108303843
False,4,286.0,0.8127950626738047,-0.005408127379062266
False,4,287.0,0.8143485911147215,-0.0038586181983017998
False,4,288.0,0.8165045626106582,-0.0017070562090817365
False,4,289.0,0.8143457552846622,-0.003870637663789478
False,4,290.0,0.8169525053493729,-0.0012690012621793256
False,4,291.0,0.8193315080544444,0.0011045736578351173
False,4,292.0,0.8218474464321672,0.0036147963964062724
False,4,293.0,0.8137153173126103,-0.004523309398356434
False,4,294.0,0.8128757927502938,-0.005369044029812309
False,4,295.0,0.8162274819178181,-0.0020237699701374234
False,4,296.0,0.8263300067014525,0.008072165245311291
False,4,297.0,0.8159908481087702,-0.0022737256245696225
False,4,298.0,0.8152015994238595,-0.0030698185890343233
False,4,299.0,0.8171049630370163,-0.001173383732632094
False,4,300.0,0.8102265394000366,-0.008058795106199224
False,4,301.0,0.8184032955411973,0.00011093800445916013
False,4,302.0,0.7982658917503487,-0.020033502660713354
False,4,303.0,0.802859722587546,-0.01544670504934531
False,4,304.0,0.8152534362679931,-0.0030600046954466498
False,4,305.0,0.8043554805466705,-0.013964935775518494
False,4,306.0,0.8088824094901215,-0.009444925534144444
False,4,307.0,0.809289344744185,-0.009044834856326234
False,4,308.0,0.8220469542999941,0.0037060198128001653
False,4,309.0,0.82218480243213,0.003837214761433505
False,4,310.0,0.8249789803319826,0.006624848311233333
False,4,311.0,0.8273778381248138,0.00901727426452148
False,4,312.0,0.8296033563599504,0.011236477572239112
False,4,313.0,0.8341063494087478,0.015733278489895475
False,4,314.0,0.8338452449918241,0.015466109511673709
False,4,315.0,0.8362015014677879,0.017816432137565785
False,4,316.0,0.837017578807525,0.018626708754737153
False,4,317.0,0.8384703122262677,0.020073777430909323
False,4,318.0,0.8239436372492128,0.005541575509688812
False,4,319.0,0.8168450098283843,-0.0015624409503108838
False,4,320.0,0.8210686048688022,0.002655901580357667
False,4,321.0,0.8317395039601176,0.013321680831050231
False,4,322.0,0.8280141524731276,0.009591334409545293
False,4,323.0,0.8264231553189152,0.007995457419500918
False,4,324.0,0.8182951014842612,-0.00013737032297422846
False,4,325.0,0.813450289566313,-0.004986860705678997
False,4,326.0,0.827811561633778,0.009369816852370705
False,4,327.0,0.8174983062000829,-0.0009479619609543688
False,4,328.0,0.8194008507896513,0.0009501161521684454
False,4,329.0,0.807013577339601,-0.011441583426556878
False,4,330.0,0.8077740007872682,-0.01068556451673408
False,4,331.0,0.811859087645094,-0.006604880868404384
False,4,332.0,0.8075677135699395,-0.010900677511571755
False,4,333.0,0.8010603241138582,-0.01741252998292797
False,4,334.0,0.8257458576249458,0.007268477468040491
False,4,335.0,0.8279654201527334,0.009483428453756382
False,4,336.0,0.8245660608757271,0.006079350943848705
False,4,337.0,0.8155553350807043,-0.002936220825198732
False,4,338.0,0.8063637164815939,-0.012132833691652634
False,4,339.0,0.8123972112088571,-0.006104500988027617
False,4,340.0,0.8199023699566627,0.0013953117654184055
False,4,341.0,0.8214372994608504,0.002924700782812595
False,4,342.0,0.8123433746059172,-0.006174964439082609
False,4,343.0,0.811935116023954,-0.006589166931568302
False,4,344.0,0.8065199902206804,-0.012010442993886983
False,4,345.0,0.8175720001289514,-0.000964791177673896
False,4,346.0,0.8235756428743961,0.005032282586016401
False,4,347.0,0.809577811629534,-0.008972332385056458
False,4,348.0,0.8096964043775396,-0.008860741190556354
False,4,349.0,0.8114459069184664,-0.007118459146347567
False,4,350.0,0.8165607471571856,-0.0020110588071957647
False,4,351.0,0.8193901219090793,0.0008106583124639632
False,4,352.0,0.8196215455255007,0.0010342132769410872
False,4,353.0,0.829062228190044,0.010466827396169553
False,4,354.0,0.8311903351376673,0.01258668128257101
False,4,355.0,0.8317661209145967,0.013154045878925436
False,4,356.0,0.8326199664401535,0.013999316500075798
False,4,357.0,0.8359498061505499,0.017320442220359555
False,4,358.0,0.8323539674877682,0.013715766306183097
False,4,359.0,0.8156232865947547,-0.0030238576065042544
False,4,360.0,0.8180435589928652,-0.0006126157720758307
False,4,361.0,0.8252025679935605,0.0065372914956119965
